country_iso3,year,oil_rents_pct_gdp,total_natural_resource_rents_pct_gdp,fuel_exports_pct_merch_exports,ores_and_metals_exports_pct_merch_exports,gdp_current_usd,gdp_growth_pct
VEN,2013,16.7771388276982,17.6253449138361,97.6778068113493,0.441779842959862,258930655486.37,1.34309403607486
VEN,2014,11.3021511747501,11.8465082797294,,,214689614732.719,-3.89438647450667
VEN,2015,,,,,125449241571.391,-6.22137102671199
VEN,2016,,,,,112915034262.314,-17.0403345996548
VEN,2017,,,,,115883275162.586,-15.6714088720003
VEN,2018,,,,,102021093964.682,-19.6553415972227
VEN,2019,,,,,73014084091.3,-27.6579678662627
VEN,2020,,,,,42838020721.1995,-29.9985699155957
VEN,2021,,,,,56614976854.5499,0.955433428579269
VEN,2022,,,,,89013255584.7499,8.00091310654791
VEN,2023,,,,,102376526555.948,4.00168591128376
VEN,2024,,,,,119802963257.783,5.29999999999984
